# Every library live on Libby. Tab separated: key, name, region, kind, places.
# Written by tools/seed_libraries.py, loaded into the database at startup.
bibliothequesdesherbrooke	Les Bibliothèques de Sherbrooke	Canada	public
bibliounicosta	Universidad de la Costa	Colombia	college
biboroughuk	Kensington & Chelsea and Westminster Libraries		public	royal london
bibstlaz	Saint-Lazare Library	Canada	public
bibthm	Technische Hochschule Mittelhessen (THM)		college
bidiuam	Universidad Autonoma Metropolitana		college
bigcountry	Big Country Library System	TX, USA	public	breckenridge comanche deleon kent mcculloch schleicher scurry shackelford stamford carnegie sutton
bilkent	Bilkent University Library	Turkey	college
birmingham-uk	Birmingham Libraries		public	acocks green balsall heath bartley birchfield bloomsbury boldmere castle vale cocks moors woods neighbourhood druids erdington farm road frankley glebe hall handsworth harborne hawkesley kents moat kings norton kingsbury kingstanding ladywood mere newtown northfield perry common quinton selly oak shard end sheldon small yardley sparkhill spring hill michaels stirchley stockland summerfield sutton coldfield tower walmley ward weoley wylde wood
birthpsych	Association for Prenatal and Perinatal Psychology and Health		company
blackandveatch	Black & Veatch		company
blackburnuk	Blackburn with Darwen Library & Information Services		public
blackcountry	Black Country		company	healthcare nhs foundation trust sandwell birmingham walsall
blackfoot	Blackfoot Public Library		public
blackgold	Black Gold Cooperative Library System		public	blanchard buellton carpinteria cataloging unit admin cuyama goleta valley guadalupe lompoc los alamos olivos orcutt paso robles santa maria ynez simmler solvang vandenberg
blackhills	Black Hills Library Digital Consortium	USA	public	custer hermosa deadwood edgemont grace balloch keystone piedmont valley rapid sturgis wall whitewood
blackstonefoundationlibrary	The Blackstone Foundation Library		company
blacktown	Blacktown City Libraries	Australia	public	dennis johnson stanhope gardens lalor park druitt hub riverstone max webber
bld	Beaumont Library District	CA, USA	public
blizzard	Blizzard Entertainment		company
bloomberg	Bloomberg Finance L.P.		company
bluebookshelf	Compassion International		company	blue bookshelf
bmccnsw	Blue Mountains City Library Services	Australia	public	blackheath blaxland katoomba lawson springwood wentworth falls
bnaiisrael	Bnai Israel Congregation		company
bnl	Bermuda National Library		public
bnllux	National Library of Luxembourg		public	bibliotheik eschduerf bibliotheque municipale differdange grevenmacher nationale publique regionale dudelange tony bourg bicherbus escher ettelbrecker letzebuerg mierscher lieshaus musel sauer mediatheik welubi weeltzer ludo
bocalibrary	Boca Raton Public Library	USA	public	downtown
boise	Boise Public Library		public	libary cole ustick bown crossing collister hillcrest garden
boisestate	Boise State University Albertsons Library	USA	college
bolt	Bolt		company
boniuklibrary	Holocaust Museum Houston, Boniuk Library		company
boobook	Boobook	Australia	public	whitehorse manningham corporation box hill bulleen doncaster nunawading pines vermont warrandyte blackburn yarra plenty diamond valley eltham ivanhoe lalor mill park rosanna thomastown watsonia whittlesea your bayswater belgrave boronia croydon ferntree gully healesville knox ngarrgoo lilydale monbulk reading room montrose mooroolbark evelyn realm rowville glen hall junction
bookcloud	bookcloud		company	cultural arequipa tarapoto trujillo icpna chiclayo colaborador cusco region centro grau
boox	BooX		company	spacex
boroondara	Boroondara Library Service	Australia	public	ashburton balwyn camberwell greythorn lounge hawthorn kew
bowvalleycollege	Bow Valley College	Canada	college
bpl	Boston Public Library		public	adams street brighton charlestown chelsea codman square connolly dudley literacy egleston faneuil fields corner fisher grove hall honan allston hyde park jamaica plain kristein business linden lower mills malden mattapan end orient heights parker hill roslindale uphams washington roxbury
bpls	Beaumont Public Library System	USA	public	elmo willard jefferson literacy depot miller theodore johns tyrrell historical
bportlibrary	Bridgeport Public Library		public	black rock newfield old mill green
bradfordlibraries	Bradford Libraries	United Kingdom	public
bradley	Bradley University	USA	college
braillehouse	Braille House Library		company
brampton	Brampton Library	Canada	public
brant	County of Brant Public Library	Canada	public
brantford	Brantford Public Library	Canada	public	paul
brattlegroup	Brattle Group		company
braunschweig	Stadtbibliothek Braunschweig	Germany	public
brazosport	Brazosport College	USA	college
brdc	Blue Ridge Download Consortium	VA, USA	public	alleghany highlands bowman clarke clifton forge culpeper fauquier handley archives highland madison orange gordonsville wilderness powhatan rappahannock rockbridge bath buena vista glasgow goshen samuels shenandoah basye orkney springs valley jackson new market strasburg
bremen	Stadtbibliothek Bremen	Germany	public
brevard	Brevard County Library	USA	public	cape canaveral catherine schweinsberg rood cocoa beach martin luther king eau gallie franklin degroodt melbourne merritt island mims scottsmoor negroni hendrick palm bay port john satellite mainland micco suntree viera titusville
bridges	Bridges	IA, USA	public	ackley adair adel agency akron albert albion alexander algona allison alta vista alton altoona ames anamosa learning andersen point anita ankeny kirkendall aplington legion arlington armstrong arnolds park arthur ashton atkins atlantic auburn audubon aurelia aurora avoca badger bancroft battle creek baxter bayard beaman bedford belle plaine bellevue belmond bennett benny gambaiani bertha bartlett gilbert bettendorf blairstown blakesburg bloomfield bonaparte bondurant boyden britt brooklyn buffalo burlington burt bussey calamus callender heritage calmar camanche cambridge carlisle carnegie evans carroll carter lake cascade casey chariton charles charter oak chelsea cherokee churdan clare clarence clarion clarksville clear clermont clinton lyons clive coggon colesburg colfax collins colo columbus junction conrad coon rapids corning correctionville corwith coulter council bluffs cresco crew cumberland curtis cushing dallas roy estle davenport dayton soto decorah delhi denver des moines dewitt dexter dike dolores tillinghast harpers ferry donnellson doon dows grace doane alden drake dubuque dumont duncombe dunkerton dunlap dyersville
brightonhovegb	Brighton & Hove City Libraries		public
brightpointlibrary	Brightpoint Community College	USA	college
brisbane	Brisbane City Council Library Services	Australia	public	square
bristoluni	University of Bristol		college
